name,group,first_side,tags,unit,main_loops,candidate_loops,loop_matched,main_mean_seconds,candidate_mean_seconds,candidate_over_main,time_change_percent,speedup,pyperf_significant,pyperf_t_score,main_stdev_percent,candidate_stdev_percent
k_core,A,main,,second,1,1,True,1.922445055268084,1.6376150745743265,0.8518397288321782,-14.816027116782182,1.1739297501079702,True,11.024168518943737,9.642022952979387,4.607564579822402
logging_format,B,candidate,,second,40960,40960,True,3.549870261470763e-06,3.5900677160801326e-06,1.011323640485023,1.132364048502299,0.9888031486344052,True,-6.444050446425601,0.8339931519198744,1.063667850514223
logging_silent,B,candidate,,second,2621440,2621440,True,5.712567813750032e-08,4.943122315026471e-08,0.8653065444804836,-13.469345551951639,1.1556598137142071,True,70.63224039284145,1.4722065335607033,0.13928061713147272
logging_simple,B,candidate,,second,40960,40960,True,3.2581792136928317e-06,3.180536097033837e-06,0.9761697833155735,-2.383021668442653,1.0244119589560403,True,10.775446355088404,1.4002588907333111,1.0108991877063267
mako,A,main,template,second,16,16,True,0.006437307678667518,0.006269864215088698,0.9739885877858987,-2.6011412214101304,1.0267060749379326,True,8.61170624616237,1.35330867089141,1.9595039931210165
many_optionals,B,candidate,,second,256,256,True,0.00044137240656709763,0.0004381254939289647,0.9926435984900218,-0.7356401509978183,1.0074109192072245,False,1.559994944611723,3.2085646294284915,1.7586657064272198
mdp,B,candidate,,second,1,1,True,0.8583717132297655,0.8120295049467434,0.9460114917945609,-5.39885082054391,1.0570696113881495,True,29.31366155645268,0.5427138770704015,1.3946481943462516
meteor_contest,A,main,,second,2,2,True,0.07125256477544704,0.073705978722622,1.0344326404938111,3.4432640493811117,0.9667135015409279,True,-44.51271086643275,0.5044038155773497,0.3126553376472824
nbody,B,candidate,math,second,4,4,True,0.03951773018343374,0.03930197262670845,0.9945402340740779,-0.5459765925922122,1.0054897386137476,False,1.784461577932309,0.29718027385441464,2.3641694548029206
nqueens,B,candidate,,second,4,4,True,0.049350211571436375,0.04853135575928415,0.983407248194531,-1.6592751805469041,1.0168727166043694,True,23.17309031033976,0.23044791488876507,0.5130097469150527
pathlib,A,main,,second,16,16,True,0.009443071869706424,0.009387379163914982,0.9941022681432612,-0.5897731856738808,1.0059327214570732,True,6.726603563694021,0.44230513523270204,0.5184302434421943
pickle,B,candidate,serialize,second,20480,20480,True,8.524020555190266e-06,8.586417538178163e-06,1.007320135208954,0.7320135208954026,0.9927330597760408,True,-6.141067416862582,0.4077345638713554,0.8223922722682705
pickle_dict,A,main,serialize,second,5120,5120,True,2.0355395530107975e-05,2.1122677132249616e-05,1.0376942615046092,3.7694261504609194,0.9636749831786154,True,-39.08232816887683,0.5857440773449881,0.4468802629244394
pickle_list,B,candidate,serialize,second,40960,40960,True,3.7300787766980646e-06,3.727213738405529e-06,0.9992319094410462,-0.07680905589537712,1.000768680975554,False,0.5856063319688534,0.6289175898015891,0.7985258544824727
pickle_pure_python,A,main,serialize,second,640,640,True,0.0001746037787476477,0.00017244102753465995,0.9876133768209361,-1.2386623179063916,1.012541975908564,True,5.139417958257733,1.1243576126043588,1.509004242028849
pidigits,B,candidate,math,second,1,1,True,0.13729933059463897,0.13518418660387396,0.9845946518340302,-1.5405348165969834,1.0156463861928093,True,28.35265456880497,0.2847563178197968,0.31476819864361166
