PHASE imports
COMPILE calls=0 ok=0 ns=0
PROFILE method=0 op=_CHECK_IS_NOT_PY_CALLABLE count=9
PROFILE method=0 op=_CHECK_MANAGED_OBJECT_HAS_VALUES count=8803798
PROFILE method=0 op=_CHECK_PERIODIC count=1859581
PROFILE method=0 op=_CHECK_RECURSION_LIMIT count=66523
PROFILE method=0 op=_CHECK_RECURSION_REMAINING count=1597120
PROFILE method=0 op=_CHECK_STACK_SPACE_OPERAND count=1115158
PROFILE method=0 op=_CHECK_VALIDITY count=11179873
PROFILE method=0 op=_COLD_EXIT count=491037
PROFILE method=0 op=_COMPARE_OP count=1144
PROFILE method=0 op=_COMPARE_OP_FLOAT count=64406
PROFILE method=0 op=_COMPARE_OP_INT count=2758907
PROFILE method=0 op=_CONTAINS_OP_SET count=157295
PROFILE method=0 op=_COPY_1 count=964303
PROFILE method=0 op=_COPY_2 count=2594
PROFILE method=0 op=_DEOPT count=30702
PROFILE method=0 op=_DYNAMIC_EXIT count=330175
PROFILE method=0 op=_EXPAND_METHOD count=572
PROFILE method=0 op=_GUARD_BINARY_OP_EXTEND count=184640
PROFILE method=0 op=_GUARD_BIT_IS_SET_POP_5 count=2050194
PROFILE method=0 op=_GUARD_BIT_IS_UNSET_POP_5 count=2149585
PROFILE method=0 op=_GUARD_BUILTINS_IDENTITY count=89056
PROFILE method=0 op=_GUARD_CALLABLE_BUILTIN_CLASS count=9
PROFILE method=0 op=_GUARD_CALLABLE_METHOD_DESCRIPTOR_O count=572
PROFILE method=0 op=_GUARD_CODE_VERSION_RETURN_VALUE count=812738
PROFILE method=0 op=_GUARD_DORV_NO_DICT count=899163
PROFILE method=0 op=_GUARD_GLOBALS_VERSION count=9
PROFILE method=0 op=_GUARD_GLOBALS_VERSION_AND_IDENTITY count=1124118
PROFILE method=0 op=_GUARD_IP_RETURN_VALUE count=1142913
PROFILE method=0 op=_GUARD_IS_NONE_POP count=572
PROFILE method=0 op=_GUARD_NOS_INT count=3629947
PROFILE method=0 op=_GUARD_NOS_LIST count=406335
PROFILE method=0 op=_GUARD_NOS_OVERFLOWED count=8
PROFILE method=0 op=_GUARD_NOT_EXHAUSTED_LIST count=1666485
PROFILE method=0 op=_GUARD_NOT_EXHAUSTED_RANGE count=82265
PROFILE method=0 op=_GUARD_NOT_EXHAUSTED_TUPLE count=1759
PROFILE method=0 op=_GUARD_TOS_ANY_SET count=157295
PROFILE method=0 op=_GUARD_TOS_EXACT_INT count=157048
PROFILE method=0 op=_GUARD_TOS_FLOAT count=130742
PROFILE method=0 op=_GUARD_TOS_INT count=2444115
PROFILE method=0 op=_GUARD_TOS_OVERFLOWED count=23669
PROFILE method=0 op=_GUARD_TOS_TUPLE count=1325
PROFILE method=0 op=_GUARD_TYPE count=26172
PROFILE method=0 op=_GUARD_TYPE_VERSION count=4402928
PROFILE method=0 op=_GUARD_TYPE_VERSION_LOCKED count=320125
PROFILE method=0 op=_INIT_CALL_PY_EXACT_ARGS_0 count=222676
PROFILE method=0 op=_INIT_CALL_PY_EXACT_ARGS_1 count=762494
PROFILE method=0 op=_INIT_CALL_PY_EXACT_ARGS_2 count=129988
PROFILE method=0 op=_IS_OP count=572
PROFILE method=0 op=_ITER_CHECK_LIST count=1573553
PROFILE method=0 op=_ITER_CHECK_RANGE count=82265
PROFILE method=0 op=_ITER_CHECK_TUPLE count=1759
PROFILE method=0 op=_ITER_NEXT_LIST_TIER_TWO count=1315005
PROFILE method=0 op=_ITER_NEXT_RANGE count=80973
PROFILE method=0 op=_ITER_NEXT_TUPLE count=1325
PROFILE method=0 op=_JUMP_TO_TOP count=1037247
